group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gkr_msm_simple,"case::(6, 13)",,,,8411166035.0,ns,1
gkr_msm_simple,"case::(6, 13)",,,,8622075340.0,ns,1
gkr_msm_simple,"case::(6, 13)",,,,8661839776.0,ns,1
gkr_msm_simple,"case::(6, 13)",,,,8412131508.0,ns,1
gkr_msm_simple,"case::(6, 13)",,,,8802920307.0,ns,1
gkr_msm_simple,"case::(6, 13)",,,,8508882773.0,ns,1
gkr_msm_simple,"case::(6, 13)",,,,8699618373.0,ns,1
gkr_msm_simple,"case::(6, 13)",,,,8728560973.0,ns,1
gkr_msm_simple,"case::(6, 13)",,,,8568838505.0,ns,1
gkr_msm_simple,"case::(6, 13)",,,,8384695420.0,ns,1
gkr_msm_simple,"case::(6, 13)",,,,8508064557.0,ns,1
gkr_msm_simple,"case::(6, 13)",,,,8731423764.0,ns,1
gkr_msm_simple,"case::(6, 13)",,,,8767478325.0,ns,1
gkr_msm_simple,"case::(6, 13)",,,,8726637884.0,ns,1
gkr_msm_simple,"case::(6, 13)",,,,8353064326.0,ns,1
gkr_msm_simple,"case::(6, 13)",,,,8482596762.0,ns,1
gkr_msm_simple,"case::(6, 13)",,,,8570553810.0,ns,1
gkr_msm_simple,"case::(6, 13)",,,,8188404939.0,ns,1
gkr_msm_simple,"case::(6, 13)",,,,8492712326.0,ns,1
gkr_msm_simple,"case::(6, 13)",,,,8513677893.0,ns,1
gkr_msm_simple,"case::(6, 13)",,,,8253333552.0,ns,1
gkr_msm_simple,"case::(6, 13)",,,,8798662223.0,ns,1
gkr_msm_simple,"case::(6, 13)",,,,8462809936.0,ns,1
gkr_msm_simple,"case::(6, 13)",,,,8511375372.0,ns,1
gkr_msm_simple,"case::(6, 13)",,,,8799397882.0,ns,1
gkr_msm_simple,"case::(6, 13)",,,,8773539123.0,ns,1
gkr_msm_simple,"case::(6, 13)",,,,8557872517.0,ns,1
gkr_msm_simple,"case::(6, 13)",,,,8221142014.0,ns,1
gkr_msm_simple,"case::(6, 13)",,,,8748836359.0,ns,1
gkr_msm_simple,"case::(6, 13)",,,,8291956936.0,ns,1
