group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gkr_msm_simple,"case::(6, 17)",,,,83869054413.0,ns,1
gkr_msm_simple,"case::(6, 17)",,,,88134707289.0,ns,1
gkr_msm_simple,"case::(6, 17)",,,,84834759519.0,ns,1
gkr_msm_simple,"case::(6, 17)",,,,86741655854.0,ns,1
gkr_msm_simple,"case::(6, 17)",,,,86771742903.0,ns,1
gkr_msm_simple,"case::(6, 17)",,,,88151150705.0,ns,1
gkr_msm_simple,"case::(6, 17)",,,,88858610371.0,ns,1
gkr_msm_simple,"case::(6, 17)",,,,86105824650.0,ns,1
gkr_msm_simple,"case::(6, 17)",,,,86836497695.0,ns,1
gkr_msm_simple,"case::(6, 17)",,,,87037679887.0,ns,1
gkr_msm_simple,"case::(6, 17)",,,,87372693989.0,ns,1
gkr_msm_simple,"case::(6, 17)",,,,87979954463.0,ns,1
gkr_msm_simple,"case::(6, 17)",,,,84914270153.0,ns,1
gkr_msm_simple,"case::(6, 17)",,,,86786326981.0,ns,1
gkr_msm_simple,"case::(6, 17)",,,,88864170970.0,ns,1
gkr_msm_simple,"case::(6, 17)",,,,88830642060.0,ns,1
gkr_msm_simple,"case::(6, 17)",,,,86925626553.0,ns,1
gkr_msm_simple,"case::(6, 17)",,,,85751070977.0,ns,1
gkr_msm_simple,"case::(6, 17)",,,,87784833587.0,ns,1
gkr_msm_simple,"case::(6, 17)",,,,88769758567.0,ns,1
gkr_msm_simple,"case::(6, 17)",,,,85873795656.0,ns,1
gkr_msm_simple,"case::(6, 17)",,,,87903832488.0,ns,1
gkr_msm_simple,"case::(6, 17)",,,,83730903081.0,ns,1
gkr_msm_simple,"case::(6, 17)",,,,86954912023.0,ns,1
gkr_msm_simple,"case::(6, 17)",,,,86911517241.0,ns,1
gkr_msm_simple,"case::(6, 17)",,,,84954342471.0,ns,1
gkr_msm_simple,"case::(6, 17)",,,,85910275616.0,ns,1
gkr_msm_simple,"case::(6, 17)",,,,88877265189.0,ns,1
gkr_msm_simple,"case::(6, 17)",,,,85841896615.0,ns,1
gkr_msm_simple,"case::(6, 17)",,,,85780870017.0,ns,1
