group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gkr_msm_simple,"case::(6, 12)",,,,4672722010.0,ns,1
gkr_msm_simple,"case::(6, 12)",,,,4703621057.0,ns,1
gkr_msm_simple,"case::(6, 12)",,,,4861602015.0,ns,1
gkr_msm_simple,"case::(6, 12)",,,,4392522484.0,ns,1
gkr_msm_simple,"case::(6, 12)",,,,4522340923.0,ns,1
gkr_msm_simple,"case::(6, 12)",,,,4651918716.0,ns,1
gkr_msm_simple,"case::(6, 12)",,,,4839203787.0,ns,1
gkr_msm_simple,"case::(6, 12)",,,,4889470672.0,ns,1
gkr_msm_simple,"case::(6, 12)",,,,4735585158.0,ns,1
gkr_msm_simple,"case::(6, 12)",,,,4917666432.0,ns,1
gkr_msm_simple,"case::(6, 12)",,,,4744173037.0,ns,1
gkr_msm_simple,"case::(6, 12)",,,,4805178779.0,ns,1
gkr_msm_simple,"case::(6, 12)",,,,4670014304.0,ns,1
gkr_msm_simple,"case::(6, 12)",,,,4644352425.0,ns,1
gkr_msm_simple,"case::(6, 12)",,,,4859886311.0,ns,1
gkr_msm_simple,"case::(6, 12)",,,,4700089240.0,ns,1
gkr_msm_simple,"case::(6, 12)",,,,4752216790.0,ns,1
gkr_msm_simple,"case::(6, 12)",,,,4817058686.0,ns,1
gkr_msm_simple,"case::(6, 12)",,,,4896649791.0,ns,1
gkr_msm_simple,"case::(6, 12)",,,,4811506610.0,ns,1
gkr_msm_simple,"case::(6, 12)",,,,4652292422.0,ns,1
gkr_msm_simple,"case::(6, 12)",,,,4649917297.0,ns,1
gkr_msm_simple,"case::(6, 12)",,,,4826462791.0,ns,1
gkr_msm_simple,"case::(6, 12)",,,,4890724880.0,ns,1
gkr_msm_simple,"case::(6, 12)",,,,4653185056.0,ns,1
gkr_msm_simple,"case::(6, 12)",,,,4818130296.0,ns,1
gkr_msm_simple,"case::(6, 12)",,,,4694456757.0,ns,1
gkr_msm_simple,"case::(6, 12)",,,,4713790079.0,ns,1
gkr_msm_simple,"case::(6, 12)",,,,4572996190.0,ns,1
gkr_msm_simple,"case::(6, 12)",,,,4859061962.0,ns,1
