group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gkr_msm_simple,"case::(4, 16)",,,,34156581063.0,ns,1
gkr_msm_simple,"case::(4, 16)",,,,38305090864.0,ns,1
gkr_msm_simple,"case::(4, 16)",,,,31248368502.0,ns,1
gkr_msm_simple,"case::(4, 16)",,,,40186697423.0,ns,1
gkr_msm_simple,"case::(4, 16)",,,,42480822379.0,ns,1
gkr_msm_simple,"case::(4, 16)",,,,37614201675.0,ns,1
gkr_msm_simple,"case::(4, 16)",,,,36131232662.0,ns,1
gkr_msm_simple,"case::(4, 16)",,,,43488803124.0,ns,1
gkr_msm_simple,"case::(4, 16)",,,,30372218737.0,ns,1
gkr_msm_simple,"case::(4, 16)",,,,37559690774.0,ns,1
gkr_msm_simple,"case::(4, 16)",,,,42136694597.0,ns,1
gkr_msm_simple,"case::(4, 16)",,,,42459964098.0,ns,1
gkr_msm_simple,"case::(4, 16)",,,,42570503418.0,ns,1
gkr_msm_simple,"case::(4, 16)",,,,41238591190.0,ns,1
gkr_msm_simple,"case::(4, 16)",,,,42499829256.0,ns,1
gkr_msm_simple,"case::(4, 16)",,,,43312649283.0,ns,1
gkr_msm_simple,"case::(4, 16)",,,,43646202044.0,ns,1
gkr_msm_simple,"case::(4, 16)",,,,37100301656.0,ns,1
gkr_msm_simple,"case::(4, 16)",,,,43707695690.0,ns,1
gkr_msm_simple,"case::(4, 16)",,,,42059506980.0,ns,1
gkr_msm_simple,"case::(4, 16)",,,,31232216030.0,ns,1
gkr_msm_simple,"case::(4, 16)",,,,42339790361.0,ns,1
gkr_msm_simple,"case::(4, 16)",,,,42508083847.0,ns,1
gkr_msm_simple,"case::(4, 16)",,,,42049701421.0,ns,1
gkr_msm_simple,"case::(4, 16)",,,,44734795938.0,ns,1
gkr_msm_simple,"case::(4, 16)",,,,42430145142.0,ns,1
gkr_msm_simple,"case::(4, 16)",,,,43739648040.0,ns,1
gkr_msm_simple,"case::(4, 16)",,,,40226156674.0,ns,1
gkr_msm_simple,"case::(4, 16)",,,,36599650538.0,ns,1
gkr_msm_simple,"case::(4, 16)",,,,43643613308.0,ns,1
