group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gkr_msm_simple,"case::(6, 14)",,,,15531369734.0,ns,1
gkr_msm_simple,"case::(6, 14)",,,,15312514707.0,ns,1
gkr_msm_simple,"case::(6, 14)",,,,16370222303.0,ns,1
gkr_msm_simple,"case::(6, 14)",,,,15904583435.0,ns,1
gkr_msm_simple,"case::(6, 14)",,,,16451393212.0,ns,1
gkr_msm_simple,"case::(6, 14)",,,,15520704457.0,ns,1
gkr_msm_simple,"case::(6, 14)",,,,15556559585.0,ns,1
gkr_msm_simple,"case::(6, 14)",,,,16401718451.0,ns,1
gkr_msm_simple,"case::(6, 14)",,,,15885905807.0,ns,1
gkr_msm_simple,"case::(6, 14)",,,,16443177939.0,ns,1
gkr_msm_simple,"case::(6, 14)",,,,15897453895.0,ns,1
gkr_msm_simple,"case::(6, 14)",,,,16413010931.0,ns,1
gkr_msm_simple,"case::(6, 14)",,,,15874457341.0,ns,1
gkr_msm_simple,"case::(6, 14)",,,,15856880673.0,ns,1
gkr_msm_simple,"case::(6, 14)",,,,16426507402.0,ns,1
gkr_msm_simple,"case::(6, 14)",,,,15921639882.0,ns,1
gkr_msm_simple,"case::(6, 14)",,,,16408986315.0,ns,1
gkr_msm_simple,"case::(6, 14)",,,,15889673480.0,ns,1
gkr_msm_simple,"case::(6, 14)",,,,16419664609.0,ns,1
gkr_msm_simple,"case::(6, 14)",,,,15872851097.0,ns,1
gkr_msm_simple,"case::(6, 14)",,,,15253992378.0,ns,1
gkr_msm_simple,"case::(6, 14)",,,,16219180201.0,ns,1
gkr_msm_simple,"case::(6, 14)",,,,16339729209.0,ns,1
gkr_msm_simple,"case::(6, 14)",,,,16323554704.0,ns,1
gkr_msm_simple,"case::(6, 14)",,,,16307849047.0,ns,1
gkr_msm_simple,"case::(6, 14)",,,,16363674756.0,ns,1
gkr_msm_simple,"case::(6, 14)",,,,16226342264.0,ns,1
gkr_msm_simple,"case::(6, 14)",,,,16352354955.0,ns,1
gkr_msm_simple,"case::(6, 14)",,,,15844288192.0,ns,1
gkr_msm_simple,"case::(6, 14)",,,,16353769424.0,ns,1
