group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gkr_msm_simple,"case::(6, 16)",,,,47217226481.0,ns,1
gkr_msm_simple,"case::(6, 16)",,,,49217286424.0,ns,1
gkr_msm_simple,"case::(6, 16)",,,,49237660766.0,ns,1
gkr_msm_simple,"case::(6, 16)",,,,48211079902.0,ns,1
gkr_msm_simple,"case::(6, 16)",,,,49272628961.0,ns,1
gkr_msm_simple,"case::(6, 16)",,,,50228227174.0,ns,1
gkr_msm_simple,"case::(6, 16)",,,,47760367107.0,ns,1
gkr_msm_simple,"case::(6, 16)",,,,48204562454.0,ns,1
gkr_msm_simple,"case::(6, 16)",,,,49241325597.0,ns,1
gkr_msm_simple,"case::(6, 16)",,,,48201457600.0,ns,1
gkr_msm_simple,"case::(6, 16)",,,,50270643908.0,ns,1
gkr_msm_simple,"case::(6, 16)",,,,48422962438.0,ns,1
gkr_msm_simple,"case::(6, 16)",,,,47206430757.0,ns,1
gkr_msm_simple,"case::(6, 16)",,,,48225575255.0,ns,1
gkr_msm_simple,"case::(6, 16)",,,,47242016626.0,ns,1
gkr_msm_simple,"case::(6, 16)",,,,48240319281.0,ns,1
gkr_msm_simple,"case::(6, 16)",,,,49220100575.0,ns,1
gkr_msm_simple,"case::(6, 16)",,,,49250775306.0,ns,1
gkr_msm_simple,"case::(6, 16)",,,,50159970974.0,ns,1
gkr_msm_simple,"case::(6, 16)",,,,49246812515.0,ns,1
gkr_msm_simple,"case::(6, 16)",,,,48217077076.0,ns,1
gkr_msm_simple,"case::(6, 16)",,,,47218705387.0,ns,1
gkr_msm_simple,"case::(6, 16)",,,,48180904359.0,ns,1
gkr_msm_simple,"case::(6, 16)",,,,49257913406.0,ns,1
gkr_msm_simple,"case::(6, 16)",,,,49243949862.0,ns,1
gkr_msm_simple,"case::(6, 16)",,,,47221699207.0,ns,1
gkr_msm_simple,"case::(6, 16)",,,,49255372926.0,ns,1
gkr_msm_simple,"case::(6, 16)",,,,50266740810.0,ns,1
gkr_msm_simple,"case::(6, 16)",,,,50232666853.0,ns,1
gkr_msm_simple,"case::(6, 16)",,,,48769232710.0,ns,1
