group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gkr_msm_simple,"case::(5, 17)",,,,57535860313.0,ns,1
gkr_msm_simple,"case::(5, 17)",,,,84776018995.0,ns,1
gkr_msm_simple,"case::(5, 17)",,,,88487050670.0,ns,1
gkr_msm_simple,"case::(5, 17)",,,,88482026267.0,ns,1
gkr_msm_simple,"case::(5, 17)",,,,89475940008.0,ns,1
gkr_msm_simple,"case::(5, 17)",,,,88491593361.0,ns,1
gkr_msm_simple,"case::(5, 17)",,,,88516855483.0,ns,1
gkr_msm_simple,"case::(5, 17)",,,,89160783615.0,ns,1
gkr_msm_simple,"case::(5, 17)",,,,87459902202.0,ns,1
gkr_msm_simple,"case::(5, 17)",,,,88516204540.0,ns,1
gkr_msm_simple,"case::(5, 17)",,,,83560713902.0,ns,1
gkr_msm_simple,"case::(5, 17)",,,,87526096355.0,ns,1
gkr_msm_simple,"case::(5, 17)",,,,87474195080.0,ns,1
gkr_msm_simple,"case::(5, 17)",,,,86334281546.0,ns,1
gkr_msm_simple,"case::(5, 17)",,,,85312865025.0,ns,1
gkr_msm_simple,"case::(5, 17)",,,,87347881366.0,ns,1
gkr_msm_simple,"case::(5, 17)",,,,86489677968.0,ns,1
gkr_msm_simple,"case::(5, 17)",,,,89530339304.0,ns,1
gkr_msm_simple,"case::(5, 17)",,,,86382258874.0,ns,1
gkr_msm_simple,"case::(5, 17)",,,,88544604168.0,ns,1
gkr_msm_simple,"case::(5, 17)",,,,86419350469.0,ns,1
gkr_msm_simple,"case::(5, 17)",,,,87536576023.0,ns,1
gkr_msm_simple,"case::(5, 17)",,,,88519522369.0,ns,1
gkr_msm_simple,"case::(5, 17)",,,,90512540802.0,ns,1
gkr_msm_simple,"case::(5, 17)",,,,87352518681.0,ns,1
gkr_msm_simple,"case::(5, 17)",,,,87364630528.0,ns,1
gkr_msm_simple,"case::(5, 17)",,,,88087390961.0,ns,1
gkr_msm_simple,"case::(5, 17)",,,,87524078582.0,ns,1
gkr_msm_simple,"case::(5, 17)",,,,90767002483.0,ns,1
gkr_msm_simple,"case::(5, 17)",,,,90397155427.0,ns,1
