group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gkr_msm_simple,"case::(4, 17)",,,,78102422510.0,ns,1
gkr_msm_simple,"case::(4, 17)",,,,72875070769.0,ns,1
gkr_msm_simple,"case::(4, 17)",,,,58394963547.0,ns,1
gkr_msm_simple,"case::(4, 17)",,,,58458476672.0,ns,1
gkr_msm_simple,"case::(4, 17)",,,,57880828711.0,ns,1
gkr_msm_simple,"case::(4, 17)",,,,58129737730.0,ns,1
gkr_msm_simple,"case::(4, 17)",,,,57978584066.0,ns,1
gkr_msm_simple,"case::(4, 17)",,,,57524183028.0,ns,1
gkr_msm_simple,"case::(4, 17)",,,,57716938781.0,ns,1
gkr_msm_simple,"case::(4, 17)",,,,58332767702.0,ns,1
gkr_msm_simple,"case::(4, 17)",,,,57232112578.0,ns,1
gkr_msm_simple,"case::(4, 17)",,,,57473131503.0,ns,1
gkr_msm_simple,"case::(4, 17)",,,,58370875947.0,ns,1
gkr_msm_simple,"case::(4, 17)",,,,57736312654.0,ns,1
gkr_msm_simple,"case::(4, 17)",,,,57816173714.0,ns,1
gkr_msm_simple,"case::(4, 17)",,,,58169303069.0,ns,1
gkr_msm_simple,"case::(4, 17)",,,,57585958824.0,ns,1
gkr_msm_simple,"case::(4, 17)",,,,57589546281.0,ns,1
gkr_msm_simple,"case::(4, 17)",,,,58087630155.0,ns,1
gkr_msm_simple,"case::(4, 17)",,,,57817386178.0,ns,1
gkr_msm_simple,"case::(4, 17)",,,,57399565469.0,ns,1
gkr_msm_simple,"case::(4, 17)",,,,57930520856.0,ns,1
gkr_msm_simple,"case::(4, 17)",,,,57374801124.0,ns,1
gkr_msm_simple,"case::(4, 17)",,,,57511416262.0,ns,1
gkr_msm_simple,"case::(4, 17)",,,,58221671714.0,ns,1
gkr_msm_simple,"case::(4, 17)",,,,57313088850.0,ns,1
gkr_msm_simple,"case::(4, 17)",,,,57511662787.0,ns,1
gkr_msm_simple,"case::(4, 17)",,,,57825904244.0,ns,1
gkr_msm_simple,"case::(4, 17)",,,,57172182085.0,ns,1
gkr_msm_simple,"case::(4, 17)",,,,57263993524.0,ns,1
